name, start, end, estimate, cost, label
完善 Notion 复习内容并进行复习,2021-7-20 20:35,2021-7-20 21:15,40,40.14,1
quick break 拖延,2021-7-20 21:15,2021-7-20 21:23,5,8.14,0
高等数学第八章,2021-7-20 21:23,2021-7-20 22:48,60,84.97,1
rest,2021-7-20 22:48,2021-7-20 23:06,10,17.64,1
高等数学第八章,2021-7-20 23:06,2021-7-21 0:19,60,72.92,1
整理Excel,2021-7-21 11:40,2021-7-21 11:52,10,12.09,0
拖延,2021-7-21 11:52,2021-7-21 12:19,20,26.77,0
mess,2021-7-21 12:19,2021-7-21 12:25,5,5.72,0
复习英语恋练有词,2021-7-21 12:25,2021-7-21 12:45,15,20.22,1
吃饭,2021-7-21 12:45,2021-7-21 13:32,25,47.22,0
睡觉,2021-7-21 13:34,2021-7-21 14:46,30,71.8,0
高等数学第九章,2021-7-21 14:46,2021-7-21 15:35,30,48.96,1
复习英语,2021-7-21 15:35,2021-7-21 15:57,15,22.84,1
Timer 添加计时功能,2021-7-21 15:57,2021-7-21 16:19,15,21.88,1
高等数学第九章,2021-7-21 16:19,2021-7-21 17:05,45,45.13,1
break,2021-7-21 17:05,2021-7-21 17:20,15,15.35,0
恋练有词UNIT4,2021-7-21 17:20,2021-7-21 17:58,20,38,1
rest,2021-7-21 17:58,2021-7-21 18:37,15,39.37,0
做方便面,2021-7-21 18:37,2021-7-21 19:02,20,25.1,0
英语单词,2021-7-21 19:02,2021-7-21 19:06,10,3.88,1
吃饭与饭后娱乐,2021-7-21 19:06,2021-7-21 22:23,60,196.92,0
记英语单词,2021-7-21 22:23,2021-7-21 22:53,15,29.36,1
高等数学第九章,2021-7-21 22:53,2021-7-22 0:30,60,97.4,1
prepare,2021-7-22 10:51,2021-7-22 11:02,10,10.23,0
拖延,2021-7-22 11:02,2021-7-22 11:09,10,7.22,0
高等数学第十章,2021-7-22 11:09,2021-7-22 12:19,60,70.23,1
中午吃饭,2021-7-22 12:19,2021-7-22 13:35,60,76.31,0
睡觉,2021-7-22 13:35,2021-7-22 14:31,10,55.83,0
高等数学第十章,2021-7-22 14:31,2021-7-22 15:22,60,50.21,1
arrange things,2021-7-22 15:22,2021-7-22 15:54,30,32.89,1
研究基于Notion的任务规划,2021-7-22 16:01,2021-7-22 16:50,20,49.65,0
拖延,2021-7-22 16:50,2021-7-22 16:54,5,3.59,1
题典1800,2021-7-22 16:54,2021-7-22 18:13,60,79.03,1
讲题,2021-7-22 18:13,2021-7-22 18:22,10,9.24,0
接力题典1800,2021-7-22 18:22,2021-7-22 19:02,20,39.57,1
整理知识,2021-7-22 19:02,2021-7-22 19:25,20,23.51,1
看直播,2021-7-22 19:25,2021-7-22 19:32,20,7.05,0
看直播,2021-7-22 19:32,2021-7-22 20:19,20,47.26,0
键绑定和一系列乱七八糟的事,2021-7-22 20:19,2021-7-22 21:25,30,65.87,0
等价无穷小知识点整理,2021-7-22 21:25,2021-7-22 22:08,15,0.79,1
背单词APP,2021-7-22 22:08,2021-7-22 22:47,15,39.35,1
整理三角函数基础知识,2021-7-22 22:47,2021-7-23 0:11,35,84.31,1
刷牙,2021-7-23 10:45,2021-7-23 11:05,10,4.16,0
吃饭,2021-7-23 11:05,2021-7-23 11:28,10,23.51,0
规划&直播,2021-7-23 11:28,2021-7-23 12:19,10,50.91,0
恋练有词UNIT5,2021-7-23 12:19,2021-7-23 12:37,30,17.9,1
吃饭 看直播,2021-7-23 12:38,2021-7-23 14:18,10,99.73,0
睡觉.....,2021-7-23 14:18,2021-7-23 16:13,10,115.15,0
MASS,2021-7-23 16:13,2021-7-23 16:25,10,11.84,0
恋练有词UNIT5,2021-7-23 16:25,2021-7-23 17:08,20,42.91,1
复习恋练有词,2021-7-23 17:08,2021-7-23 17:23,15,14.72,1
复习Notion,2021-7-23 17:23,2021-7-23 18:37,15,74.47,1
markdown导出为html的GUI 方法,2021-7-23 18:37,2021-7-23 19:18,20,41.29,0
看直播,2021-7-23 19:18,2021-7-23 19:27,10,9.08,0
学习,2021-7-23 19:27,2021-7-23 19:37,10,10.03,1
看直播,2021-7-23 19:37,2021-7-23 19:54,10,16.12,0
对改答案,2021-7-23 19:54,2021-7-23 20:10,10,16.84,1
对改1800,2021-7-23 20:10,2021-7-23 20:46,35,35.91,1
对改1800(fast,2021-7-23 20:46,2021-7-23 21:04,35,17.41,1
1800做题1页,2021-7-23 21:04,2021-7-23 21:58,35,54.66,1
检查,2021-7-23 21:58,2021-7-23 22:17,20,18.7,1
settle,2021-7-23 22:17,2021-7-23 22:23,20,6.22,0
